Correction File             de_DE_frami.tsv
Total Words Spelling        478
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           478
Negatives Hunspell          478
True Positives              0
True Negatives              478
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      73422121
Total Duration Hunspell     29586957
Minimum Duration Nuspell    6059
Minimum Duration Hunspell   4536
Average Duration Nuspell    153602
Average Duration Hunspell   61897
Maximum Duration Nuspell    688495
Maximum Duration Hunspell   261420
Maximum Speedup             0.94339
Accuracy                    1
Precision                   0
Speedup                     0.402971
Total Words Suggestion                  478
Correction In Suggestions Nuspell       383
Correction In Suggestions Hunspell      333
Correction In Suggestions Both          319
Correction As First Suggestion Nuspell  280
Correction As First Suggestion Hunspell 251
Correction As First Suggestion Both     226
Nuspell More Suggestions                46
Hunspell More Suggestions               139
Same Number Of Suggestions              333
Nuspell No Suggestions                  3
Hunspell No Suggestions                 3
Both No Suggestions                     3
Maximum Suggestions Nuspell             15
Maximum Suggestions Hunspell            16
Rate Corr. In Suggestions Nuspell       0.801255
Rate Corr. In Suggestions Hunspell      0.696653
Rate Corr. As First Suggestion Nuspell  0.585774
Rate Corr. As First Suggestion Hunspell 0.525105
Total Duration Suggestions Nuspell      264830296470
Total Duration Suggestions Hunspell     161583119963
Minimum Duration Suggestions Nuspell    4525939
Minimum Duration Suggestions Hunspell   2439321
Average Duration Suggestions Nuspell    554038277
Average Duration Suggestions Hunspell   338039999
Maximum Duration Suggestions Nuspell    3052942240
Maximum Duration Suggestions Hunspell   1587669031
Maximum Suggestions Speedup             58.9639
Suggestions Speedup                     0.610138
Total Time 428
