Correction File             en_GB.tsv
Total Words Spelling        4200
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           4200
Negatives Hunspell          4200
True Positives              0
True Negatives              4200
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      168679574
Total Duration Hunspell     118217682
Minimum Duration Nuspell    12675
Minimum Duration Hunspell   11061
Average Duration Nuspell    40161
Average Duration Hunspell   28147
Maximum Duration Nuspell    130007
Maximum Duration Hunspell   141227
Maximum Speedup             3.73222
Accuracy                    1
Precision                   0
Speedup                     0.700842
Total Words Suggestion                  4200
Correction In Suggestions Nuspell       4043
Correction In Suggestions Hunspell      4039
Correction In Suggestions Both          4037
Correction As First Suggestion Nuspell  3506
Correction As First Suggestion Hunspell 3466
Correction As First Suggestion Both     3447
Nuspell More Suggestions                73
Hunspell More Suggestions               60
Same Number Of Suggestions              4039
Nuspell No Suggestions                  3
Hunspell No Suggestions                 3
Both No Suggestions                     3
Maximum Suggestions Nuspell             15
Maximum Suggestions Hunspell            15
Rate Corr. In Suggestions Nuspell       0.962619
Rate Corr. In Suggestions Hunspell      0.961667
Rate Corr. As First Suggestion Nuspell  0.834762
Rate Corr. As First Suggestion Hunspell 0.825238
Total Duration Suggestions Nuspell      888030720155
Total Duration Suggestions Hunspell     976942105483
Minimum Duration Suggestions Nuspell    883594
Minimum Duration Suggestions Hunspell   774959
Average Duration Suggestions Nuspell    211435885
Average Duration Suggestions Hunspell   232605263
Maximum Duration Suggestions Nuspell    818872764
Maximum Duration Suggestions Hunspell   1072233644
Maximum Suggestions Speedup             156.218
Suggestions Speedup                     1.10012
Total Time 1866
