Correction File             fr-short.tsv
Total Words Spelling        64
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           64
Negatives Hunspell          64
True Positives              0
True Negatives              64
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      14736977
Total Duration Hunspell     9338014
Minimum Duration Nuspell    81274
Minimum Duration Hunspell   47089
Average Duration Nuspell    230265
Average Duration Hunspell   145906
Maximum Duration Nuspell    384488
Maximum Duration Hunspell   290122
Maximum Speedup             0.764272
Accuracy                    1
Precision                   0
Speedup                     0.633645
Total Words Suggestion                  64
Correction In Suggestions Nuspell       33
Correction In Suggestions Hunspell      33
Correction In Suggestions Both          33
Correction As First Suggestion Nuspell  26
Correction As First Suggestion Hunspell 28
Correction As First Suggestion Both     26
Nuspell More Suggestions                2
Hunspell More Suggestions               4
Same Number Of Suggestions              33
Nuspell No Suggestions                  0
Hunspell No Suggestions                 0
Both No Suggestions                     0
Maximum Suggestions Nuspell             12
Maximum Suggestions Hunspell            13
Rate Corr. In Suggestions Nuspell       0.515625
Rate Corr. In Suggestions Hunspell      0.515625
Rate Corr. As First Suggestion Nuspell  0.40625
Rate Corr. As First Suggestion Hunspell 0.4375
Total Duration Suggestions Nuspell      23114063219
Total Duration Suggestions Hunspell     48062659565
Minimum Duration Suggestions Nuspell    30606632
Minimum Duration Suggestions Hunspell   52898905
Average Duration Suggestions Nuspell    361157237
Average Duration Suggestions Hunspell   750979055
Maximum Duration Suggestions Nuspell    613485857
Maximum Duration Suggestions Hunspell   1308778015
Maximum Suggestions Speedup             8.96713
Suggestions Speedup                     2.07937
Total Time 72
