Correction File             fr.tsv
Total Words Spelling        288
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           288
Negatives Hunspell          288
True Positives              0
True Negatives              288
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      75778161
Total Duration Hunspell     48080333
Minimum Duration Nuspell    90002
Minimum Duration Hunspell   51965
Average Duration Nuspell    263118
Average Duration Hunspell   166945
Maximum Duration Nuspell    681894
Maximum Duration Hunspell   388136
Maximum Speedup             0.891175
Accuracy                    1
Precision                   0
Speedup                     0.634488
Total Words Suggestion                  288
Correction In Suggestions Nuspell       183
Correction In Suggestions Hunspell      188
Correction In Suggestions Both          183
Correction As First Suggestion Nuspell  155
Correction As First Suggestion Hunspell 162
Correction As First Suggestion Both     155
Nuspell More Suggestions                9
Hunspell More Suggestions               25
Same Number Of Suggestions              188
Nuspell No Suggestions                  4
Hunspell No Suggestions                 4
Both No Suggestions                     4
Maximum Suggestions Nuspell             15
Maximum Suggestions Hunspell            15
Rate Corr. In Suggestions Nuspell       0.635417
Rate Corr. In Suggestions Hunspell      0.652778
Rate Corr. As First Suggestion Nuspell  0.538194
Rate Corr. As First Suggestion Hunspell 0.5625
Total Duration Suggestions Nuspell      90309694175
Total Duration Suggestions Hunspell     196348804173
Minimum Duration Suggestions Nuspell    25538994
Minimum Duration Suggestions Hunspell   27558658
Average Duration Suggestions Nuspell    313575326
Average Duration Suggestions Hunspell   681766681
Maximum Duration Suggestions Nuspell    1208138640
Maximum Duration Suggestions Hunspell   2000131692
Maximum Suggestions Speedup             17.7569
Suggestions Speedup                     2.17417
Total Time 288
