Correction File             nl-short.tsv
Total Words Spelling        256
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           256
Negatives Hunspell          256
True Positives              0
True Negatives              256
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      32060870
Total Duration Hunspell     23147122
Minimum Duration Nuspell    17252
Minimum Duration Hunspell   12796
Average Duration Nuspell    125237
Average Duration Hunspell   90418
Maximum Duration Nuspell    726464
Maximum Duration Hunspell   471523
Maximum Speedup             1.38214
Accuracy                    1
Precision                   0
Speedup                     0.721974
Total Words Suggestion                  256
Correction In Suggestions Nuspell       162
Correction In Suggestions Hunspell      148
Correction In Suggestions Both          144
Correction As First Suggestion Nuspell  134
Correction As First Suggestion Hunspell 133
Correction As First Suggestion Both     124
Nuspell More Suggestions                98
Hunspell More Suggestions               28
Same Number Of Suggestions              148
Nuspell No Suggestions                  36
Hunspell No Suggestions                 41
Both No Suggestions                     34
Maximum Suggestions Nuspell             15
Maximum Suggestions Hunspell            15
Rate Corr. In Suggestions Nuspell       0.632812
Rate Corr. In Suggestions Hunspell      0.578125
Rate Corr. As First Suggestion Nuspell  0.523438
Rate Corr. As First Suggestion Hunspell 0.519531
Total Duration Suggestions Nuspell      124694687704
Total Duration Suggestions Hunspell     197647526250
Minimum Duration Suggestions Nuspell    91173
Minimum Duration Suggestions Hunspell   940372
Average Duration Suggestions Nuspell    487088623
Average Duration Suggestions Hunspell   772060649
Maximum Duration Suggestions Nuspell    2278906760
Maximum Duration Suggestions Hunspell   5692457775
Maximum Suggestions Speedup             14933.2
Suggestions Speedup                     1.58505
Total Time 323
