Correction File             en_GB.tsv
Total Words Spelling        4200
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           4200
Negatives Hunspell          4200
True Positives              0
True Negatives              4200
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      153685409
Total Duration Hunspell     103292235
Minimum Duration Nuspell    11003
Minimum Duration Hunspell   10018
Average Duration Nuspell    36591
Average Duration Hunspell   24593
Maximum Duration Nuspell    82042
Maximum Duration Hunspell   75498
Maximum Speedup             1.39304
Accuracy                    1
Precision                   0
Speedup                     0.672102
Total Words Suggestion                  4200
Correction In Suggestions Nuspell       4043
Correction In Suggestions Hunspell      4039
Correction In Suggestions Both          4037
Correction As First Suggestion Nuspell  3506
Correction As First Suggestion Hunspell 3466
Correction As First Suggestion Both     3447
Nuspell More Suggestions                73
Hunspell More Suggestions               60
Same Number Of Suggestions              4039
Nuspell No Suggestions                  3
Hunspell No Suggestions                 3
Both No Suggestions                     3
Maximum Suggestions Nuspell             15
Maximum Suggestions Hunspell            15
Rate Corr. In Suggestions Nuspell       0.962619
Rate Corr. In Suggestions Hunspell      0.961667
Rate Corr. As First Suggestion Nuspell  0.834762
Rate Corr. As First Suggestion Hunspell 0.825238
Total Duration Suggestions Nuspell      793295330771
Total Duration Suggestions Hunspell     853325027593
Minimum Duration Suggestions Nuspell    823961
Minimum Duration Suggestions Hunspell   662128
Average Duration Suggestions Nuspell    188879840
Average Duration Suggestions Hunspell   203172625
Maximum Duration Suggestions Nuspell    828233924
Maximum Duration Suggestions Hunspell   980450944
Maximum Suggestions Speedup             119.517
Suggestions Speedup                     1.07567
Total Time 1648
