Correction File             en_US.tsv
Total Words Spelling        4171
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           4171
Negatives Hunspell          4171
True Positives              0
True Negatives              4171
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      118705016
Total Duration Hunspell     91248234
Minimum Duration Nuspell    8538
Minimum Duration Hunspell   9105
Average Duration Nuspell    28459
Average Duration Hunspell   21876
Maximum Duration Nuspell    286321
Maximum Duration Hunspell   79584
Maximum Speedup             1.82988
Accuracy                    1
Precision                   0
Speedup                     0.768697
Total Words Suggestion                  4171
Correction In Suggestions Nuspell       4063
Correction In Suggestions Hunspell      4066
Correction In Suggestions Both          4063
Correction As First Suggestion Nuspell  3545
Correction As First Suggestion Hunspell 3510
Correction As First Suggestion Both     3492
Nuspell More Suggestions                53
Hunspell More Suggestions               68
Same Number Of Suggestions              4066
Nuspell No Suggestions                  3
Hunspell No Suggestions                 3
Both No Suggestions                     3
Maximum Suggestions Nuspell             15
Maximum Suggestions Hunspell            15
Rate Corr. In Suggestions Nuspell       0.974107
Rate Corr. In Suggestions Hunspell      0.974826
Rate Corr. As First Suggestion Nuspell  0.849916
Rate Corr. As First Suggestion Hunspell 0.841525
Total Duration Suggestions Nuspell      426971273481
Total Duration Suggestions Hunspell     468422461053
Minimum Duration Suggestions Nuspell    607764
Minimum Duration Suggestions Hunspell   242450
Average Duration Suggestions Nuspell    102366644
Average Duration Suggestions Hunspell   112304593
Maximum Duration Suggestions Nuspell    474871106
Maximum Duration Suggestions Hunspell   561201701
Maximum Suggestions Speedup             85.2189
Suggestions Speedup                     1.09708
Total Time 897
