Correction File             fr.tsv
Total Words Spelling        288
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           288
Negatives Hunspell          288
True Positives              0
True Negatives              288
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      70569514
Total Duration Hunspell     45389080
Minimum Duration Nuspell    81334
Minimum Duration Hunspell   49861
Average Duration Nuspell    245033
Average Duration Hunspell   157600
Maximum Duration Nuspell    568718
Maximum Duration Hunspell   360609
Maximum Speedup             0.876295
Accuracy                    1
Precision                   0
Speedup                     0.643183
Total Words Suggestion                  288
Correction In Suggestions Nuspell       183
Correction In Suggestions Hunspell      188
Correction In Suggestions Both          183
Correction As First Suggestion Nuspell  155
Correction As First Suggestion Hunspell 162
Correction As First Suggestion Both     155
Nuspell More Suggestions                9
Hunspell More Suggestions               25
Same Number Of Suggestions              188
Nuspell No Suggestions                  4
Hunspell No Suggestions                 4
Both No Suggestions                     4
Maximum Suggestions Nuspell             15
Maximum Suggestions Hunspell            15
Rate Corr. In Suggestions Nuspell       0.635417
Rate Corr. In Suggestions Hunspell      0.652778
Rate Corr. As First Suggestion Nuspell  0.538194
Rate Corr. As First Suggestion Hunspell 0.5625
Total Duration Suggestions Nuspell      85280260063
Total Duration Suggestions Hunspell     188232760431
Minimum Duration Suggestions Nuspell    23865172
Minimum Duration Suggestions Hunspell   25953201
Average Duration Suggestions Nuspell    296112014
Average Duration Suggestions Hunspell   653585973
Maximum Duration Suggestions Nuspell    1165745806
Maximum Duration Suggestions Hunspell   1921653398
Maximum Suggestions Speedup             18.3995
Suggestions Speedup                     2.20723
Total Time 275
