Correction File             en_GB.tsv
Total Words Spelling        4200
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           4200
Negatives Hunspell          4200
True Positives              0
True Negatives              4200
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      143029229
Total Duration Hunspell     108120311
Minimum Duration Nuspell    12068
Minimum Duration Hunspell   10931
Average Duration Nuspell    34054
Average Duration Hunspell   25742
Maximum Duration Nuspell    90290
Maximum Duration Hunspell   100638
Maximum Speedup             2.05756
Accuracy                    1
Precision                   0
Speedup                     0.755932
Total Words Suggestion                  4200
Correction In Suggestions Nuspell       4043
Correction In Suggestions Hunspell      4039
Correction In Suggestions Both          4037
Correction As First Suggestion Nuspell  3506
Correction As First Suggestion Hunspell 3466
Correction As First Suggestion Both     3447
Nuspell More Suggestions                95
Hunspell More Suggestions               53
Same Number Of Suggestions              4039
Nuspell No Suggestions                  3
Hunspell No Suggestions                 3
Both No Suggestions                     3
Maximum Suggestions Nuspell             28
Maximum Suggestions Hunspell            15
Rate Corr. In Suggestions Nuspell       0.962619
Rate Corr. In Suggestions Hunspell      0.961667
Rate Corr. As First Suggestion Nuspell  0.834762
Rate Corr. As First Suggestion Hunspell 0.825238
Total Duration Suggestions Nuspell      851125130853
Total Duration Suggestions Hunspell     925075647294
Minimum Duration Suggestions Nuspell    3360099
Minimum Duration Suggestions Hunspell   673559
Average Duration Suggestions Nuspell    202648840
Average Duration Suggestions Hunspell   220256106
Maximum Duration Suggestions Nuspell    783592915
Maximum Duration Suggestions Hunspell   879649963
Maximum Suggestions Speedup             1.53344
Suggestions Speedup                     1.08689
Total Time 1777
