Correction File             en_US.tsv
Total Words Spelling        4171
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           4171
Negatives Hunspell          4171
True Positives              0
True Negatives              4171
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      100011488
Total Duration Hunspell     89233846
Minimum Duration Nuspell    8029
Minimum Duration Hunspell   8065
Average Duration Nuspell    23977
Average Duration Hunspell   21393
Maximum Duration Nuspell    52482
Maximum Duration Hunspell   52214
Maximum Speedup             2.01296
Accuracy                    1
Precision                   0
Speedup                     0.892236
Total Words Suggestion                  4171
Correction In Suggestions Nuspell       4063
Correction In Suggestions Hunspell      4066
Correction In Suggestions Both          4063
Correction As First Suggestion Nuspell  3545
Correction As First Suggestion Hunspell 3510
Correction As First Suggestion Both     3492
Nuspell More Suggestions                73
Hunspell More Suggestions               60
Same Number Of Suggestions              4066
Nuspell No Suggestions                  3
Hunspell No Suggestions                 3
Both No Suggestions                     3
Maximum Suggestions Nuspell             26
Maximum Suggestions Hunspell            15
Rate Corr. In Suggestions Nuspell       0.974107
Rate Corr. In Suggestions Hunspell      0.974826
Rate Corr. As First Suggestion Nuspell  0.849916
Rate Corr. As First Suggestion Hunspell 0.841525
Total Duration Suggestions Nuspell      404677518793
Total Duration Suggestions Hunspell     455646485095
Minimum Duration Suggestions Nuspell    805944
Minimum Duration Suggestions Hunspell   232550
Average Duration Suggestions Nuspell    97021701
Average Duration Suggestions Hunspell   109241545
Maximum Duration Suggestions Nuspell    278757681
Maximum Duration Suggestions Hunspell   339638261
Maximum Suggestions Speedup             31.1584
Suggestions Speedup                     1.12595
Total Time 861
