Correction File             nl-short.tsv
Total Words Spelling        256
Positives Nuspell           0
Positives Hunspell          0
Negatives Nuspell           256
Negatives Hunspell          256
True Positives              0
True Negatives              256
False Positives             0
False Negatives             0
True Positive Rate          0
True Negative Rate          1
False Positive Rate         0
False Negative Rate         0
Total Duration Nuspell      25353899
Total Duration Hunspell     18523385
Minimum Duration Nuspell    14314
Minimum Duration Hunspell   11530
Average Duration Nuspell    99038
Average Duration Hunspell   72356
Maximum Duration Nuspell    410119
Maximum Duration Hunspell   257519
Maximum Speedup             1.23265
Accuracy                    1
Precision                   0
Speedup                     0.730593
Total Words Suggestion                  256
Correction In Suggestions Nuspell       165
Correction In Suggestions Hunspell      148
Correction In Suggestions Both          147
Correction As First Suggestion Nuspell  133
Correction As First Suggestion Hunspell 133
Correction As First Suggestion Both     125
Nuspell More Suggestions                119
Hunspell More Suggestions               3
Same Number Of Suggestions              148
Nuspell No Suggestions                  34
Hunspell No Suggestions                 41
Both No Suggestions                     34
Maximum Suggestions Nuspell             44
Maximum Suggestions Hunspell            15
Rate Corr. In Suggestions Nuspell       0.644531
Rate Corr. In Suggestions Hunspell      0.578125
Rate Corr. As First Suggestion Nuspell  0.519531
Rate Corr. As First Suggestion Hunspell 0.519531
Total Duration Suggestions Nuspell      3384868021474
Total Duration Suggestions Hunspell     161228772661
Minimum Duration Suggestions Nuspell    92882
Minimum Duration Suggestions Hunspell   511369
Average Duration Suggestions Nuspell    13222140708
Average Duration Suggestions Hunspell   629799893
Maximum Duration Suggestions Nuspell    2856210915682
Maximum Duration Suggestions Hunspell   5431171152
Maximum Suggestions Speedup             15071.4
Suggestions Speedup                     0.0476322
Total Time 3547
